date,latitude,longitude,temperature,precipitation,co,year,month,day_of_year,season,temp_anomaly
2020-04-10,-5.948692238086879,-70.0508978237488,28.79000000000002,3.5500495433807373,0.035191202697383,2020,4,101,Spring,0.0
2020-04-10,-30.780266935411845,-52.966306389522686,25.57000000000005,0.9728299975395204,0.0201581777357821,2020,4,101,Spring,0.0
2020-04-10,8.492231004198745,-67.80948755839367,42.85000000000002,0.4375622272491455,0.0448756595725102,2020,4,101,Spring,0.0
2020-04-10,30.2195679442051,100.49219342013446,27.31,0.3072019815444946,0.0214342310606012,2020,4,101,Spring,0.0
2020-04-10,10.906347427771784,-70.86898740736262,47.98000000000002,0.3696882426738739,0.0423326963556615,2020,4,101,Spring,0.0
2020-04-10,-28.41390412077378,126.63235110986844,34.50000000000006,0.3141427338123321,0.021269129960836,2020,4,101,Spring,0.0
2020-04-10,21.15415335199115,16.939195829372146,47.02000000000004,0.0,0.0298522323863024,2020,4,101,Spring,0.0
2020-04-10,25.77961373244966,51.25670783885641,35.440000000000055,0.6989673376083374,0.0365646188701873,2020,4,101,Spring,0.0
2020-04-10,-26.467177042579436,30.690869336107216,18.410000000000025,4.258555889129639,0.0215677991612553,2020,4,101,Spring,0.0
2020-04-10,21.85459914362118,12.31837924061543,45.60000000000002,0.0,0.0327560564932914,2020,4,101,Spring,0.0
2020-04-10,37.90230810551028,109.67209535818276,28.390000000000043,0.5355656147003174,0.0387928472951108,2020,4,101,Spring,0.0
2020-04-10,35.57967097850942,60.50285371028477,25.660000000000025,3.331364154815674,0.0297448374190996,2020,4,101,Spring,0.0
2020-04-10,27.681192731518056,72.86696318442624,51.88000000000005,0.7437084317207336,0.0356879676026957,2020,4,101,Spring,0.0
2020-04-10,7.803105012678238,80.85130323086294,34.28000000000003,4.025936603546143,0.036005152152149,2020,4,101,Spring,0.0
2020-04-10,35.5896390301151,43.14292707696986,33.620000000000005,1.351755142211914,0.0351553245462341,2020,4,101,Spring,0.0
2020-04-10,-20.800189923475845,48.33906180840414,28.400000000000038,7.098926067352295,0.0237224372932095,2020,4,101,Spring,0.0
2020-04-10,-30.15142727014717,-66.89010842485591,28.99000000000001,0.3646966814994812,0.0210810971639766,2020,4,101,Spring,0.0
2020-04-10,43.11009069789415,-116.737448305491,18.19000000000005,0.0,0.030546167454763,2020,4,101,Spring,0.0
2020-04-10,4.733682536282634,29.580029998750515,31.970000000000027,4.774032115936279,0.0388317683812616,2020,4,101,Spring,0.0
