date,latitude,longitude,temperature,precipitation,co
2020-04-10,-13.57550353891726,-70.93347448287065,11.41571428571433,3.3050997257232666,0.020326602190290508
2020-04-10,-39.462830417060914,-79.64941908329237,,,0.019253747156899127
2020-04-10,5.039603697110968,-46.888292241909696,,,0.03429037306411021
2020-04-10,-33.11657559358802,-42.7726022624531,,,0.020527025305891185
2020-04-10,-7.437841656232608,-69.4027592859566,26.117999999999995,5.476419448852539,0.03192080593763158
2020-04-10,10.19319547880176,-64.15176506206453,31.150000000000034,1.3271676301956177,0.03942991800716102
2020-04-10,-4.946290995747866,-77.67146520470895,25.79333333333335,9.998052597045898,0.032000926840366484
2020-04-10,-22.439896185115973,-89.55366569948143,,,0.021409221849172592
2020-04-10,-4.4230521117875,-85.13392376087256,,,0.032077607562954795
2020-04-10,-28.95332105995635,-81.44965041687212,,,0.021144002773967333
2020-04-10,-20.920350803828015,-83.48930946525978,,,0.02156491208715623
2020-04-10,-24.408107223887338,-63.11718800225167,24.507142857142867,0.4127212166786194,0.02294415866683201
2020-04-10,-46.13939000008444,-82.64669294493645,,,0.01858146688123933
2020-04-10,-3.6103430778813146,-74.74229876580536,27.55666666666673,7.649045467376709,0.035186581152011114
2020-04-10,-9.62933522997331,-81.259272128104,,,0.029766528149051938
2020-04-10,-28.034047207577327,-83.18672271475805,,,0.021224364370075306
2020-04-10,-37.1071342408216,-81.94626841030711,,,0.019280936100045862
2020-04-10,-45.328381456484394,-70.5909869884691,9.630000000000052,1.3957780599594116,0.017858060790367523
2020-04-10,-16.496041955244753,-37.32148576224188,,,0.029583663242896612
2020-04-10,-12.277762161753158,-68.33418926747149,25.88428571428574,3.215329647064209,0.029981951605949644
2020-04-10,-7.860129856996821,-36.34207065858505,27.126666666666722,2.505180597305298,0.025779876834085808
2020-04-10,-31.017648993702746,-42.20907848161226,,,0.020428086778848602
2020-04-10,1.3703515344325103,-60.4015066348761,27.410000000000025,10.096578598022461,0.03213150539940041
2020-04-10,-8.684571691251614,-78.44293680681423,38.20428571428573,0.1824699193239212,0.030520904153781763
2020-04-10,-31.265487041675655,-75.48767700101384,,,0.024941371774506574
2020-04-10,-8.940466137818587,-51.19567763562019,27.970000000000027,3.1519556045532227,0.028692358764082295
2020-04-10,-35.579519698191646,-53.15800721970647,,,0.02349085109888517
2020-04-10,-12.068787515511868,-74.40604614194253,26.32000000000005,1.011144995689392,0.0249616028077767
2020-04-10,-14.548793501662137,-66.61986208595886,27.876666666666722,1.7228230237960815,0.028916612989245822
2020-04-10,-53.70317596560447,-50.99844200810659,,,0.018458547191798062
2020-04-10,-11.055505022393076,-37.964838288946154,27.396666666666704,3.711667776107788,0.026499196689045316
2020-04-10,-47.666400258031445,-82.61866418994475,,,0.01793593170640817
2020-04-10,-35.29303721547258,-71.87621354279186,15.555714285714316,1.3588448762893677,0.020750051192859165
2020-04-10,6.195291052997424,-82.81411982426616,,,0.03685469832285897
2020-04-10,7.635856009650545,-82.51763624083408,,,0.037018967952737916
2020-04-10,-36.47840027213,-82.5347802539261,,,0.01981839701891385
2020-04-10,-30.260171865728076,-53.90520582582814,21.987142857142885,4.234806060791016,0.022093648219319396
2020-04-10,-24.893556081554376,-51.095188425955065,21.810000000000002,2.0714433193206787,0.02142628236200281
2020-04-10,-55.41416167350922,-46.093475350763015,,,0.017592886559202704
2020-04-10,-32.14387883969637,-69.5997669639863,10.927142857142883,0.23036015033721924,0.013011019693721518
2020-04-10,12.20405768821448,-47.73409304384023,,,0.03472317392271787
2020-04-10,-1.7991343872856154,-45.54843923890011,27.30000000000001,8.477938652038574,0.02901030585655824
2020-04-10,10.038115232870128,-34.24354228440092,,,0.036420627152806806
2020-04-10,-15.966399607845101,-57.68960453602029,27.03857142857146,0.6934131979942322,0.028585750176298188
2020-04-10,-11.733202717891263,-58.102709107686174,29.235714285714323,1.9852956533432007,0.029224860270797324
2020-04-10,-46.523605090163514,-34.43341636539353,,,0.01920045450777321
2020-04-10,-57.79425154122281,-76.93576294067182,,,0.018028063878522724
2020-04-10,-20.280102374992197,-59.41848993371373,30.841428571428594,1.1300541162490845,0.02592817026990725
2020-04-10,-11.582242706910154,-43.83404569553982,29.870000000000005,1.4919630289077759,0.02488052282729928
2020-04-10,-10.469612618796155,-77.39477366295166,26.918571428571454,0.12375835329294205,0.022039915362712686
2020-06-09,-53.54022120720188,-50.188245868836574,,,0.021596534453813127
2020-06-09,-50.40572897746229,-38.07617126390811,,,0.02064220452543163
2020-06-09,11.496758707086995,-38.21686501074781,,,0.02949563991408948
2020-06-09,-51.0504362588233,-77.66543245043374,,,0.021992259737539252
2020-06-09,16.065061748152626,-66.77482622511047,,,0.025819312655417533
2020-06-09,-20.277873135918455,-47.31272105016093,26.610000000000014,0.21324288845062256,0.025326722978823515
2020-06-09,-21.3912590603645,-84.9759360918399,,,0.02230104668846033
2020-06-09,14.456825341483494,-92.78606454733826,,,0.02847868917562523
2020-06-09,-21.510239689805495,-57.03677350455505,27.312500000000057,0.7640063166618347,0.02735941659699441
2020-06-09,-8.599854610008402,-58.741041581412766,28.042500000000018,0.10575423389673233,0.02937024569832073
2020-06-09,-15.612939325146428,-75.469285124235,,,0.028486375072681962
2020-06-09,-16.20007002385072,-89.14070417583439,,,0.022064523172162877
2020-06-09,-41.20396440069592,-77.97619580177489,,,0.020272311981702044
2020-06-09,-11.592360431279534,-56.334588815480075,29.782500000000027,0.056050658226013184,0.028150969811811616
